Scenario,lambda,env.beta,seed,sigma2x,kappa,nsamp,npres,uns_nsamp,Model,MAE,correlation,worst,best,tot_cpu,sim
Default,-3,1.2,820114,1,0.05,100,11,422,unstructuredcov,3.718703774,0.880976979,"41, 61, 81, 101, 121, 161, 181, 261, 321, 21, 281, 361, 1, 201, 301, 341, 381, 141, 241","1, 21, 41, 81, 101, 121, 161, 281, 301, 361, 381, 61, 141, 221, 341",46.90968299,5
Default,-3,1.2,820114,1,0.05,100,11,422,jointcov,0.58544321,0.891627397,"41, 61, 81, 101, 121, 141, 161, 181, 201, 221, 281, 321, 21, 361, 1, 261, 301, 341, 381","1, 21, 41, 81, 101, 121, 161, 201, 241, 281, 301, 361, 381, 141, 221, 261, 341, 61, 181",72.43614316,5
Default,-3,1.2,820114,1,0.05,100,11,422,covariate,0.677556332,0.73346328,"1, 41, 61, 81, 121, 141, 161, 221, 281, 21, 201, 361, 261, 321, 341, 101","41, 81, 101, 121, 181, 201, 241, 261, 281, 321, 341, 361, 381, 1, 61, 141, 161, 221, 301, 21",27.17155385,5
Default,-3,1.2,820114,1,0.05,100,11,422,covariatebias,0.623869689,0.767994946,"1, 21, 81, 161, 241, 201, 281, 361, 41, 121, 261, 321, 341, 101","41, 101, 121, 141, 161, 201, 221, 241, 261, 301, 321, 341, 361, 1, 181, 381, 21",16.797961,5
Default,-3,1.2,820114,1,0.05,100,11,422,correlation_str,0.750581301,0.77001815,"41, 61, 121, 141, 161, 201, 221, 281, 301, 361, 381","21, 41, 101, 181, 241, 261, 321, 341, 361, 1, 161, 81, 301",81.83868098,5
Default,-3,1.2,820114,1,0.05,100,11,422,correlation_uns,1.025602769,0.626025386,"41, 61, 121, 141, 161, 201, 221, 281, 301, 361, 381","21, 41, 81, 101, 121, 161, 181, 241, 261, 281, 321, 341, 361, 1",81.83868098,5
Default,-3,1.2,820114,1,0.05,100,11,422,correlationbias_str,0.598711498,0.886506564,"41, 61, 121, 141, 181, 281, 21, 81, 201, 321, 361, 1, 261, 301, 341, 381","1, 21, 41, 81, 101, 121, 161, 181, 201, 281, 301, 321, 361, 381, 141, 221, 241, 261, 341, 61",68.10089517,5
Default,-3,1.2,820114,1,0.05,100,11,422,correlationbias_uns,0.576001602,0.893032831,"41, 61, 81, 101, 121, 141, 161, 181, 261, 281, 321, 21, 361, 1, 201, 301, 341, 381, 241","1, 21, 41, 81, 101, 121, 161, 201, 241, 281, 301, 361, 381, 141, 221, 261, 341, 61, 181",68.10089517,5
Default,-3,1.2,93675,1,0.05,100,15,326,structured,0.619459681,0.792295026,"41, 121, 181, 221, 261, 281, 341, 1, 81, 161, 301, 361, 381, 101, 321, 61, 141, 241","21, 61, 141, 161, 181, 221, 241, 261, 321, 341, 361, 41, 81, 121, 1, 281, 381, 101, 201",148.8925161,6
Default,-3,1.2,93675,1,0.05,100,15,326,unstructured,2.174665215,0.586691981,"41, 301, 381, 61, 141, 221, 281, 361, 121","1, 81, 161, 241, 321, 181, 261, 341, 21, 101",46.35665107,6
