,lambda,env.beta,seed,sigma2x,kappa,nsamp,section,npres,uns_nsamp,Model,MAE,correlation,worst,best,tot_cpu,sim
Total1983,-3,1.2,17272,1,0.05,250,whole,32,212,jointcov,0.396758029,0.799226413,"1, 21, 41, 61, 121, 141, 161, 181, 201, 221, 261, 281, 301, 341, 361, 381, 81, 241","1, 21, 81, 141, 161, 241, 281, 341, 381, 41, 61, 101, 181, 221, 261, 321, 361, 121",66.36346459,216
Total1984,-3,1.2,17272,1,0.05,250,whole,32,212,covariate,0.536159609,0.599115435,"121, 161, 181, 201, 221, 261, 281, 301, 321, 341, 361, 1, 81, 101, 241, 41","1, 21, 81, 121, 161, 241, 261, 341, 381, 41, 61, 141, 201, 281, 361, 101, 181, 221, 301, 321",20.2424469,216
Total1985,-3,1.2,17272,1,0.05,250,whole,32,212,covariatebias,0.53982429,0.604208128,"21, 41, 61, 121, 141, 161, 181, 201, 221, 241, 261, 281, 301, 321, 341, 361, 381, 1, 81, 101","1, 21, 61, 81, 101, 161, 181, 201, 261, 281, 341, 41, 141, 221, 361, 301, 381",23.29661918,216
Total1986,-3,1.2,17272,1,0.05,250,whole,32,212,correlation_str,0.466590647,0.705459076,"1, 21, 41, 61, 121, 161, 181, 201, 221, 241, 261, 281, 301, 321, 341, 361, 81, 101, 141","1, 61, 81, 101, 141, 161, 201, 241, 261, 321, 341, 381, 21, 41, 121, 221, 281, 361, 181, 301",65.35001826,216
Total1987,-3,1.2,17272,1,0.05,250,whole,32,212,correlation_uns,1.016710189,0.24772785,"1, 61, 81, 141, 161, 381, 221, 301, 321, 241","41, 61, 101, 121, 141, 181, 201, 221, 261, 301, 341, 21, 281, 361",65.35001826,216
Total1988,-3,1.2,17272,1,0.05,250,whole,32,212,correlationbias_str,0.430841058,0.783922775,"21, 41, 61, 121, 141, 161, 181, 201, 221, 261, 281, 301, 341, 361, 381, 1, 81, 241","1, 21, 81, 101, 161, 181, 241, 261, 281, 341, 381, 41, 61, 141, 221, 361, 301, 121",55.70581245,216
Total1989,-3,1.2,17272,1,0.05,250,whole,32,212,correlationbias_uns,0.411252005,0.765527701,"21, 41, 61, 121, 141, 181, 201, 221, 261, 281, 301, 341, 361, 381, 81, 161, 241","21, 81, 101, 261, 281, 301, 321, 121, 181, 201, 341, 361, 41, 161, 241, 1, 221, 381",55.70581245,216
Total1990,-3,1.2,17272,1,0.05,250,whole,32,212,unstructured,2.232458851,0.179072212,"61, 141, 221, 301, 381, 361, 41, 121, 201, 281","1, 21, 41, 81, 121, 161, 241, 321, 101, 181, 261, 341",32.1756351,216
Total1991,-3,1.2,17272,1,0.05,250,whole,32,212,unstructuredcov,3.625767653,0.630798691,"61, 181, 261, 281, 341, 361, 381, 21, 141, 221, 301, 41, 121, 201","1, 21, 41, 61, 121, 141, 161, 201, 221, 301, 81, 181, 261, 281, 381, 101, 241, 321, 341",37.18707919,216
Total1992,-3,1.2,497080,1,0.05,250,left,5,262,structured,1.058526785,-0.504319927,"41, 61, 121, 141, 201, 221, 261, 281, 301, 341, 361, 381, 21, 181","1, 21, 81, 101, 161, 241, 181, 261, 321, 341, 361, 381, 41, 61, 141, 221",17.18262601,217
Total1993,-3,1.2,497080,1,0.05,250,left,5,262,joint,1.650206038,0.621358297,"41, 61, 121, 141, 221, 301, 381, 281, 361","1, 81, 161, 181, 241, 261, 321, 341, 21, 101",46.44507813,217
Total1994,-3,1.2,497080,1,0.05,250,left,5,262,jointcov,0.457130372,0.869009993,"41, 141, 221, 281, 301, 341, 361, 381, 21, 61, 101, 121, 181, 201, 261, 161, 241, 321","1, 61, 101, 121, 241, 301, 321, 161, 201, 281, 341, 181, 261",51.02626872,217
Total1995,-3,1.2,497080,1,0.05,250,left,5,262,covariate,1.066430046,-0.181364397,"41, 61, 121, 141, 201, 221, 281, 301, 361, 381, 181, 261, 341","1, 21, 41, 101, 161, 181, 241, 321, 61, 141, 221, 261, 281, 301, 341, 361, 381, 81",16.57931495,217
Total1996,-3,1.2,497080,1,0.05,250,left,5,262,covariatebias,0.984410732,-0.43838584,"41, 61, 121, 141, 201, 221, 261, 281, 301, 341, 361, 381, 21, 181","101, 181, 241, 261, 321, 341, 361, 381, 1, 21, 41, 81, 141, 161, 221, 61, 301",14.83690643,217
Total1997,-3,1.2,497080,1,0.05,250,left,5,262,correlation_str,0.964495191,0.473581858,"361, 41, 61, 121, 141, 201, 221, 261, 281, 301, 381, 181, 341","41, 61, 81, 121, 141, 161, 181, 201, 221, 241, 261, 281, 301, 321, 341, 1, 101, 361, 21",54.10106254,217
Total1998,-3,1.2,497080,1,0.05,250,left,5,262,correlation_uns,1.164440324,0.618432809,"1, 61, 141, 221, 301, 381, 161, 241, 321","21, 101, 181, 281, 301, 361, 381, 41, 61, 121, 141, 201, 261, 341",54.10106254,217
Total1999,-3,1.2,497080,1,0.05,250,left,5,262,correlationbias_str,0.73887122,0.848954746,"41, 61, 81, 121, 141, 201, 221, 281, 301, 341, 361, 381, 21, 181, 261","1, 21, 41, 81, 161, 181, 241, 321, 61, 141, 261, 301, 341, 381, 101, 361",48.42418575,217
Total2000,-3,1.2,497080,1,0.05,250,left,5,262,correlationbias_uns,0.467379693,0.861541558,"41, 81, 121, 141, 161, 201, 221, 281, 301, 341, 361, 381, 21, 61, 241, 321","101, 121, 181, 221, 321, 381, 61, 81, 161, 241, 301, 341, 361, 1, 21, 41, 281, 141, 201",48.42418575,217
Total2001,-3,1.2,497080,1,0.05,250,right,3,262,structured,1.315572409,0.572939286,"1, 21, 41, 81, 101, 121, 161, 181, 241, 321, 261","221, 281, 301, 361, 381, 41, 61, 121, 141, 201, 241, 321, 341, 1, 21, 81, 161",23.85822344,218
Total2002,-3,1.2,497080,1,0.05,250,right,3,262,joint,1.652317335,0.638292922,"1, 81, 161, 181, 241, 261, 321, 341, 21, 101","41, 61, 121, 141, 201, 221, 301, 381, 281, 361",43.42712593,218
Total2003,-3,1.2,497080,1,0.05,250,right,3,262,jointcov,0.604002754,0.867629966,"41, 61, 81, 121, 161, 221, 241, 281, 301, 361, 381, 141, 261, 341, 181, 321, 1","41, 121, 141, 181, 201, 221, 241, 261, 281, 341, 1, 21, 61, 81, 101, 321, 301, 361, 381",45.82083273,218
Total2004,-3,1.2,497080,1,0.05,250,right,3,262,covariate,0.723326803,0.687334486,"1, 21, 41, 61, 81, 101, 161, 181, 241, 361, 381, 141, 121, 201, 261, 321","41, 261, 281, 341, 21, 61, 81, 101, 161, 181, 201, 321, 361, 1, 121, 141, 241",18.00984454,218
Total2005,-3,1.2,497080,1,0.05,250,right,3,262,covariatebias,0.662906667,0.706393811,"1, 21, 41, 81, 101, 121, 141, 161, 201, 221, 281, 301, 341, 361, 381, 61, 181, 261, 321","61, 101, 121, 181, 201, 221, 241, 321, 381, 1, 141, 261, 281, 301, 341, 361, 21, 41, 81, 161",14.80813074,218
Total2006,-3,1.2,497080,1,0.05,250,right,3,262,correlation_str,0.758439461,0.742187823,"41, 61, 221, 281, 301, 361, 381, 21, 81, 121, 141, 161, 201, 241, 321, 1, 101, 261, 341","1, 41, 81, 101, 121, 141, 161, 181, 201, 221, 241, 281, 381, 61, 261, 341, 361, 301",50.31856179,218
Total2007,-3,1.2,497080,1,0.05,250,right,3,262,correlation_uns,1.195018925,0.62835237,"1, 61, 141, 221, 301, 381, 321","21, 101, 181, 281, 301, 361, 381, 41, 61, 121, 141, 201, 261, 341",50.31856179,218
Total2008,-3,1.2,497080,1,0.05,250,right,3,262,correlationbias_str,0.775343037,0.795034365,"1, 21, 41, 81, 101, 161, 241, 281, 361, 261, 341, 121, 201, 181, 301","61, 141, 221, 261, 281, 301, 341, 381, 21, 101, 161, 181, 201, 241, 321, 361, 1, 41, 81, 121",45.29897904,218
Total2009,-3,1.2,497080,1,0.05,250,right,3,262,correlationbias_uns,0.451406662,0.864756074,"41, 81, 141, 161, 221, 281, 301, 341, 361, 381, 21, 61, 121, 201, 241, 321, 1","41, 61, 181, 201, 281, 301, 321, 81, 101, 161, 241, 341, 361, 381, 1, 21, 121, 141",45.29897904,218
Total2010,-3,1.2,497080,1,0.05,250,midleft,14,262,structured,0.761829801,0.641306208,"1, 41, 61, 81, 121, 141, 161, 201, 221, 281, 301, 341, 361, 381, 21, 181, 261","21, 41, 241, 321, 1, 101, 141, 161, 181, 261, 341, 61, 81, 381, 121, 361",113.6878471,219
Total2011,-3,1.2,497080,1,0.05,250,midleft,14,262,joint,1.333038828,0.629815266,"41, 61, 121, 141, 221, 301, 381, 281, 361","81, 161, 181, 241, 261, 101, 121, 201, 321, 341, 1, 21",48.36586881,219
Total2012,-3,1.2,497080,1,0.05,250,midleft,14,262,jointcov,0.45921367,0.876995815,"41, 61, 81, 121, 161, 281, 301, 361, 381, 141, 201, 261, 341, 21, 101, 221, 241, 321","1, 61, 81, 141, 181, 221, 281, 301, 321, 341, 101, 161, 241, 381, 21, 41, 121, 261, 361, 201",52.76967406,219
Total2013,-3,1.2,497080,1,0.05,250,midleft,14,262,covariate,0.583880178,0.804110545,"1, 21, 41, 81, 101, 121, 141, 161, 201, 221, 281, 301, 361, 381, 61, 261, 181, 341","181, 201, 261, 301, 321, 341, 381, 81, 101, 141, 221, 241, 21, 41, 61, 161, 281, 361, 1, 121",18.87015486,219
Total2014,-3,1.2,497080,1,0.05,250,midleft,14,262,covariatebias,0.682334284,0.717433606,"1, 41, 61, 81, 121, 141, 161, 201, 221, 281, 301, 341, 361, 381, 181, 261","1, 41, 81, 101, 121, 161, 241, 321, 341, 381, 21, 141, 181, 261, 361",19.10775232,219
Total2015,-3,1.2,497080,1,0.05,250,midleft,14,262,correlation_str,0.705033922,0.781718382,"41, 61, 121, 141, 221, 301, 381, 361, 281, 201, 261","161, 181, 241, 261, 281, 301, 321, 341, 361, 1, 21, 81, 101, 141, 201, 121",65.05501747,219
Total2016,-3,1.2,497080,1,0.05,250,midleft,14,262,correlation_uns,1.150028684,0.624370277,"1, 61, 81, 141, 221, 301, 381, 161, 241, 321","21, 101, 181, 281, 301, 361, 381, 41, 61, 121, 141, 201, 261, 341",65.05501747,219
Total2017,-3,1.2,497080,1,0.05,250,midleft,14,262,correlationbias_str,0.499075743,0.87337754,"1, 21, 41, 81, 121, 141, 161, 201, 221, 281, 301, 361, 381, 61, 261, 101, 241, 181","61, 121, 181, 241, 261, 341, 1, 81, 101, 141, 161, 221, 301, 321, 381, 21, 41, 361, 201, 281",56.23538423,219
Total2018,-3,1.2,497080,1,0.05,250,midleft,14,262,correlationbias_uns,0.457230864,0.868828495,"41, 81, 121, 141, 161, 201, 221, 281, 301, 361, 381, 21, 61, 341, 101, 241, 321","1, 101, 121, 181, 221, 281, 321, 341, 381, 61, 81, 161, 241, 301, 361, 21, 41, 141, 201, 261",56.23538423,219
Total2019,-3,1.2,497080,1,0.05,250,midright,16,262,structured,0.67600638,0.58983045,"1, 21, 81, 101, 141, 161, 181, 221, 241, 281, 301, 361, 381, 41, 61, 121, 321","261, 81, 221, 301, 341, 381, 1, 21, 61, 101, 141, 161, 181, 361, 121, 201, 281",106.1847339,220
Total2020,-3,1.2,497080,1,0.05,250,midright,16,262,joint,1.225835757,0.667912522,"1, 61, 81, 161, 221, 241, 261, 301, 321, 341, 381, 21, 141","21, 41, 101, 121, 141, 181, 201, 221, 281, 301, 381, 61, 361, 261",54.44510412,220
Total2021,-3,1.2,497080,1,0.05,250,midright,16,262,jointcov,0.419855377,0.881385137,"41, 61, 161, 221, 281, 301, 341, 361, 381, 21, 121, 141, 201, 101, 241, 321","1, 61, 81, 101, 141, 161, 181, 201, 221, 281, 301, 321, 241, 261, 341, 361, 381, 21, 41, 121",55.50780964,220
Total2022,-3,1.2,497080,1,0.05,250,midright,16,262,covariate,0.711559369,0.659249324,"1, 21, 81, 101, 161, 241, 281, 361, 381, 41, 61, 141, 321, 341","61, 121, 141, 221, 261, 301, 341, 1, 101, 161, 281, 381, 41, 201, 241, 361, 181",20.39038658,220
Total2023,-3,1.2,497080,1,0.05,250,midright,16,262,covariatebias,0.657096303,0.688160089,"1, 21, 41, 81, 101, 121, 141, 161, 201, 221, 241, 281, 301, 361, 381, 61, 321, 341","121, 181, 201, 221, 261, 341, 381, 1, 101, 141, 241, 281, 301, 41, 61, 81, 361",18.10765433,220
Total2024,-3,1.2,497080,1,0.05,250,midright,16,262,correlation_str,0.726452577,0.773721458,"61, 221, 281, 301, 361, 381, 81, 121, 141, 161, 201, 241, 321, 1, 21, 101, 261, 341","1, 41, 61, 81, 101, 161, 181, 201, 221, 241, 281, 381, 261, 341, 121, 301, 361, 141",64.84903073,220
Total2025,-3,1.2,497080,1,0.05,250,midright,16,262,correlation_uns,1.130962201,0.639557388,"1, 61, 81, 141, 221, 301, 381, 161, 241, 321","21, 101, 181, 281, 301, 361, 381, 41, 61, 121, 201, 261, 341",64.84903073,220
Total2026,-3,1.2,497080,1,0.05,250,midright,16,262,correlationbias_str,0.461992578,0.854529948,"1, 21, 41, 81, 101, 121, 141, 161, 201, 221, 241, 281, 301, 341, 361, 381, 61, 321","61, 181, 241, 261, 301, 341, 381, 101, 141, 161, 221, 321, 1, 121, 281, 81, 201, 361",54.18452048,220
Total2027,-3,1.2,497080,1,0.05,250,midright,16,262,correlationbias_uns,0.430826343,0.878677238,"41, 81, 121, 141, 161, 221, 281, 301, 341, 361, 381, 21, 61, 201, 101, 241, 321, 1","1, 61, 101, 121, 161, 181, 301, 321, 381, 81, 141, 221, 241, 341, 361, 21, 41, 201, 281",54.18452048,220
Total2028,-3,1.2,497080,1,0.05,250,bottom,4,262,structured,1.080340724,-0.460553392,"41, 61, 81, 121, 141, 161, 201, 221, 281, 301, 361, 381, 181, 261, 341","1, 21, 41, 101, 181, 241, 261, 321, 61, 81, 141, 161, 221, 281, 301, 341, 361, 381",17.67226696,221
Total2029,-3,1.2,497080,1,0.05,250,bottom,4,262,joint,1.35153584,0.597689264,"61, 141, 221, 301, 381, 361, 41, 121, 281","1, 81, 161, 181, 241, 261, 321, 341, 361, 101, 121, 201, 21",47.603827,221
Total2030,-3,1.2,497080,1,0.05,250,bottom,4,262,jointcov,0.457548194,0.859629437,"121, 141, 161, 201, 221, 281, 301, 341, 361, 381, 21, 41, 61, 101, 241, 321","61, 81, 101, 161, 201, 301, 321, 181, 241, 261, 341, 381, 1, 21, 121, 281",50.67037797,221
Total2031,-3,1.2,497080,1,0.05,250,bottom,4,262,covariate,0.860006752,0.440428549,"81, 121, 141, 221, 281, 301, 341, 361, 381, 41, 61, 201, 181, 261","21, 41, 101, 121, 181, 201, 221, 241, 301, 321, 381, 61, 141, 161, 261, 281, 341, 361, 1, 81",17.56985116,221
Total2032,-3,1.2,497080,1,0.05,250,bottom,4,262,covariatebias,0.757016986,0.715585651,"41, 61, 81, 121, 141, 201, 221, 261, 281, 301, 341, 361, 381, 21, 161, 241, 321","21, 41, 181, 61, 141, 241, 261, 361, 381, 81, 121, 161, 221, 301, 341, 101, 201, 281",16.39160013,221
Total2033,-3,1.2,497080,1,0.05,250,bottom,4,262,correlation_str,0.861701776,0.491299324,"81, 281, 301, 361, 381, 41, 61, 121, 141, 201, 221, 181, 261","21, 41, 61, 101, 121, 141, 181, 201, 221, 241, 301, 321, 381, 161, 261, 281, 341, 361, 1, 81",58.11807466,221
Total2034,-3,1.2,497080,1,0.05,250,bottom,4,262,correlation_uns,1.160339749,0.616552664,"1, 61, 141, 221, 301, 381, 161, 241, 321","21, 101, 181, 281, 301, 361, 381, 41, 61, 121, 141, 201, 261, 341",58.11807466,221
Total2035,-3,1.2,497080,1,0.05,250,bottom,4,262,correlationbias_str,0.652284528,0.802822721,"1, 41, 61, 81, 121, 141, 161, 201, 221, 261, 281, 301, 341, 361, 381, 21, 181, 321","1, 21, 41, 61, 81, 161, 241, 301, 321, 381, 141, 181, 221, 261, 341, 101, 121, 281, 361",47.32937121,221
Total2036,-3,1.2,497080,1,0.05,250,bottom,4,262,correlationbias_uns,0.470275096,0.857205721,"41, 81, 121, 141, 161, 201, 221, 281, 301, 341, 361, 381, 21, 61, 241, 321, 1","101, 121, 181, 221, 321, 341, 381, 81, 161, 241, 301, 361, 1, 21, 41, 61, 281, 141, 201",47.32937121,221
Total2037,-3,1.2,497080,1,0.05,250,top,6,262,structured,0.731834331,0.568623011,"1, 21, 41, 81, 101, 121, 141, 161, 201, 221, 241, 281, 301, 361, 381, 61, 181, 261","121, 181, 201, 341, 1, 61, 81, 101, 241, 301, 321, 361, 381, 21, 41, 161, 141",18.30515003,222
Total2038,-3,1.2,497080,1,0.05,250,top,6,262,joint,1.205264714,0.637635448,"41, 61, 121, 141, 221, 301, 381, 281, 361","1, 21, 81, 101, 161, 181, 261, 341, 361, 41, 121, 201, 241, 281, 321",48.0617013,222
Total2039,-3,1.2,497080,1,0.05,250,top,6,262,jointcov,0.630282785,0.870447367,"41, 61, 81, 121, 161, 241, 281, 301, 361, 381, 141, 261, 341, 181, 201, 221, 321, 1","41, 121, 141, 181, 201, 221, 241, 261, 281, 301, 341, 361, 1, 21, 61, 81, 101, 321, 381",49.79590034,222
Total2040,-3,1.2,497080,1,0.05,250,top,6,262,covariate,0.930866715,-0.051921111,"41, 61, 121, 141, 201, 221, 261, 281, 301, 341, 361, 381, 21","1, 21, 81, 101, 161, 241, 181, 261, 361, 381, 41, 61, 141, 321, 121, 301",17.09701943,222
Total2041,-3,1.2,497080,1,0.05,250,top,6,262,covariatebias,1.152431474,-0.543264708,"41, 61, 121, 141, 201, 221, 261, 281, 301, 341, 361, 381, 21, 101","1, 21, 241, 261, 341, 41, 61, 81, 121, 161, 181, 221, 301, 321, 381, 101, 141, 361",15.76303172,222
Total2042,-3,1.2,497080,1,0.05,250,top,6,262,correlation_str,0.715841248,0.742396379,"41, 61, 121, 221, 301, 361, 381, 141, 201, 281, 261","1, 81, 121, 141, 181, 201, 221, 241, 261, 281, 301, 321, 341, 381, 101, 161, 361, 21",54.416255,222
Total2043,-3,1.2,497080,1,0.05,250,top,6,262,correlation_uns,1.165639782,0.624745455,"1, 61, 141, 221, 301, 381, 161, 241, 321","21, 101, 181, 281, 301, 361, 381, 41, 61, 121, 141, 201, 261, 341",54.416255,222
Total2044,-3,1.2,497080,1,0.05,250,top,6,262,correlationbias_str,0.659846045,0.823671132,"1, 21, 81, 101, 161, 221, 241, 281, 301, 361, 381, 41, 61, 121, 141, 201, 181, 261","121, 181, 221, 261, 281, 341, 381, 1, 21, 61, 81, 101, 141, 161, 241, 301, 321, 361, 41",42.28995347,222
Total2045,-3,1.2,497080,1,0.05,250,top,6,262,correlationbias_uns,0.462183849,0.865019104,"41, 81, 121, 141, 161, 221, 281, 301, 341, 361, 381, 21, 61, 201, 241, 321","101, 121, 181, 221, 321, 381, 81, 161, 241, 301, 341, 361, 1, 21, 41, 281, 141, 201",42.28995347,222
Total2046,-3,1.2,497080,1,0.05,250,midbottom,7,262,structured,1.308284942,-0.44003195,"81, 141, 221, 281, 301, 361, 381, 41, 121, 201, 61, 101, 181, 261, 341","21, 41, 101, 121, 181, 201, 241, 261, 301, 321, 341, 381, 1, 61, 81, 141, 161, 221, 281, 361",59.76606441,223
Total2047,-3,1.2,497080,1,0.05,250,midbottom,7,262,joint,1.374296948,0.60546769,"61, 141, 221, 301, 381, 41, 121, 281, 361","1, 81, 161, 181, 241, 321, 341, 361, 21, 101, 121, 201, 261",53.6642921,223
Total2048,-3,1.2,497080,1,0.05,250,midbottom,7,262,jointcov,0.586206978,0.866378063,"41, 61, 81, 161, 221, 281, 301, 361, 381, 141, 241, 261, 341, 121, 321, 1, 181","41, 61, 141, 181, 241, 261, 281, 341, 1, 21, 81, 101, 161, 201, 221, 321, 361, 121, 301, 381",58.05008507,223
Total2049,-3,1.2,497080,1,0.05,250,midbottom,7,262,covariate,0.994407614,0.615065117,"81, 281, 361, 141, 41, 61, 121, 161, 201, 221, 241, 301, 381, 181, 261, 341","1, 21, 41, 61, 81, 101, 121, 141, 161, 181, 201, 221, 241, 261, 281, 301, 321, 341, 361",18.63118458,223
Total2050,-3,1.2,497080,1,0.05,250,midbottom,7,262,covariatebias,0.940307263,0.59785979,"81, 161, 281, 301, 361, 381, 41, 121, 141, 201, 221, 241, 61, 181, 261, 341","1, 21, 41, 61, 81, 101, 121, 161, 181, 201, 221, 241, 261, 301, 321, 341, 381, 141, 281, 361",19.1664331,223
Total2051,-3,1.2,497080,1,0.05,250,midbottom,7,262,correlation_str,0.89533043,0.708839776,"61, 221, 301, 381, 141, 361, 41, 121, 201, 281, 181, 261","41, 141, 161, 181, 201, 221, 241, 261, 281, 301, 321, 341, 361, 381, 1, 21, 81, 101, 121",61.92201757,223
Total2052,-3,1.2,497080,1,0.05,250,midbottom,7,262,correlation_uns,1.143416075,0.614647468,"1, 61, 81, 141, 221, 301, 381, 161, 321","21, 101, 181, 221, 281, 301, 361, 381, 61, 121, 141, 201, 261, 341, 41",61.92201757,223
Total2053,-3,1.2,497080,1,0.05,250,midbottom,7,262,correlationbias_str,0.69818635,0.864954834,"1, 81, 161, 281, 301, 361, 381, 41, 61, 141, 261, 341, 121, 201, 221, 241, 321, 181","1, 61, 81, 121, 141, 181, 201, 221, 241, 261, 281, 301, 341, 381, 21, 101, 161, 321, 361, 41",52.92060375,223
Total2054,-3,1.2,497080,1,0.05,250,midbottom,7,262,correlationbias_uns,0.452259779,0.868762371,"41, 81, 121, 141, 161, 201, 221, 281, 301, 341, 361, 381, 21, 61, 101, 241, 321","1, 81, 101, 121, 161, 181, 301, 321, 221, 241, 341, 361, 381, 21, 41, 201, 281",52.92060375,223
Total2055,-3,1.2,497080,1,0.05,250,midtop,19,262,structured,0.721646878,0.581198826,"1, 21, 41, 61, 81, 101, 121, 141, 161, 201, 221, 281, 301, 341, 361, 381, 181, 261, 321","101, 121, 181, 1, 141, 161, 261, 341, 381, 21, 81, 221, 241, 301, 321, 41, 201, 281",102.9555771,224
Total2056,-3,1.2,497080,1,0.05,250,midtop,19,262,joint,1.020842247,0.6939747,"41, 61, 121, 141, 221, 301, 381","21, 101, 261, 281, 361, 41, 121, 181, 201, 241, 341",51.06983685,224
Total2057,-3,1.2,497080,1,0.05,250,midtop,19,262,jointcov,0.438202417,0.874979563,"41, 61, 81, 121, 161, 221, 241, 281, 301, 341, 361, 381, 21, 141, 201, 261, 101, 321, 1","41, 61, 141, 181, 201, 221, 281, 321, 341, 381, 81, 101, 161, 241, 301, 361, 1, 21, 121, 261",52.72841883,224
Total2058,-3,1.2,497080,1,0.05,250,midtop,19,262,covariate,0.675517232,0.579826383,"1, 21, 81, 101, 161, 181, 241, 281, 301, 321, 361, 381, 41, 61, 121, 261",,19.59097433,224
Total2059,-3,1.2,497080,1,0.05,250,midtop,19,262,covariatebias,0.690304648,0.59038051,"1, 21, 41, 61, 81, 121, 141, 161, 201, 221, 281, 301, 341, 361, 381, 181, 261","21, 1, 81, 141, 181, 241, 381, 101, 161, 221, 261, 281, 341, 361",19.51340818,224
Total2060,-3,1.2,497080,1,0.05,250,midtop,19,262,correlation_str,0.52950064,0.836265034,"1, 21, 41, 61, 81, 101, 121, 161, 201, 221, 241, 281, 301, 361, 381, 141, 261, 181","121, 141, 201, 221, 261, 341, 21, 61, 101, 161, 241, 281, 321, 1, 41, 81, 181, 301, 381, 361",59.07547522,224
Total2061,-3,1.2,497080,1,0.05,250,midtop,19,262,correlation_uns,1.158777899,0.63352524,"1, 61, 141, 221, 301, 381, 161, 321","21, 101, 181, 281, 301, 361, 381, 41, 61, 121, 141, 201, 261, 341",59.07547522,224
Total2062,-3,1.2,497080,1,0.05,250,midtop,19,262,correlationbias_str,0.492559661,0.839733106,"1, 21, 41, 81, 101, 121, 141, 161, 201, 221, 241, 281, 301, 361, 381, 61, 181, 261","121, 181, 221, 261, 341, 381, 1, 61, 81, 161, 241, 301, 41, 101, 141, 281, 321, 201, 361",57.67500043,224
Total2063,-3,1.2,497080,1,0.05,250,midtop,19,262,correlationbias_uns,0.455929161,0.866250285,"41, 81, 121, 141, 161, 201, 221, 281, 301, 341, 361, 381, 21, 61, 101, 241, 321","101, 121, 181, 221, 321, 341, 381, 81, 161, 241, 301, 361, 1, 21, 41, 61, 201, 281, 141, 261",57.67500043,224
Total2064,-3,1.2,497080,1,0.05,250,whole,24,262,structured,0.703949413,0.621302085,"1, 21, 41, 61, 81, 101, 121, 141, 161, 201, 221, 281, 301, 341, 361, 381, 181, 261, 321","41, 101, 121, 181, 1, 141, 161, 341, 21, 61, 81, 241, 261, 301, 321, 201, 221, 281, 381",150.6782615,225
Total2065,-3,1.2,497080,1,0.05,250,whole,24,262,joint,0.981572572,0.68417691,"41, 61, 141, 221, 301, 381","1, 21, 81, 101, 261, 281, 341, 361, 41, 121, 181, 201, 241, 161",60.24717927,225
Total2066,-3,1.2,497080,1,0.05,250,whole,24,262,jointcov,0.430329381,0.882123057,"41, 61, 81, 161, 221, 281, 301, 341, 361, 381, 21, 121, 141, 201, 261, 101, 241, 321","1, 61, 81, 101, 141, 181, 201, 221, 281, 301, 321, 341, 161, 241, 381, 21, 41, 121, 361, 261",61.54355693,225
Total2067,-3,1.2,497080,1,0.05,250,whole,24,262,covariate,0.499727974,0.83158549,"1, 21, 41, 81, 101, 121, 141, 161, 201, 221, 281, 301, 341, 361, 381, 61, 261, 241, 181","61, 141, 161, 181, 201, 261, 321, 341, 101, 241, 281, 381, 21, 41, 301, 361, 1, 81, 121, 221",19.23039293,225
Total2068,-3,1.2,497080,1,0.05,250,whole,24,262,covariatebias,0.538340455,0.823367534,"1, 21, 41, 61, 81, 101, 121, 141, 161, 201, 221, 281, 301, 341, 361, 381, 261, 181","1, 41, 81, 101, 121, 241, 321, 301, 341, 381, 21, 61, 161, 181, 261, 281, 221, 361",21.92816949,225
Total2069,-3,1.2,497080,1,0.05,250,whole,24,262,correlation_str,0.446692632,0.877173887,"1, 21, 41, 61, 81, 161, 221, 281, 301, 361, 381, 121, 141, 201, 261, 341, 101, 241, 181, 321","41, 61, 161, 181, 241, 261, 281, 321, 341, 1, 81, 101, 201, 221, 21, 121, 301, 361, 381",63.99848032,225
Total2070,-3,1.2,497080,1,0.05,250,whole,24,262,correlation_uns,1.130496468,0.630523959,"1, 61, 81, 141, 221, 301, 381, 161, 241, 321","21, 101, 181, 281, 301, 361, 381, 41, 61, 121, 141, 201, 261, 341",63.99848032,225
Total2071,-3,1.2,497080,1,0.05,250,whole,24,262,correlationbias_str,0.437763874,0.887940295,"1, 21, 41, 81, 121, 141, 161, 201, 221, 281, 301, 341, 361, 381, 61, 261, 101, 241, 181","181, 201, 241, 301, 341, 101, 141, 221, 321, 381, 1, 21, 81, 161, 281, 61, 121, 361",53.65965128,225
Total2072,-3,1.2,497080,1,0.05,250,whole,24,262,correlationbias_uns,0.438532487,0.878206574,"41, 81, 121, 141, 161, 201, 221, 281, 301, 341, 361, 381, 21, 61, 101, 241, 321","1, 101, 121, 181, 301, 321, 341, 81, 141, 161, 221, 241, 361, 381, 21, 41, 201, 281, 61, 261",53.65965128,225
Total2073,-3,1.2,497080,1,0.05,250,whole,24,262,unstructured,2.130830473,0.62392189,"41, 61, 121, 141, 221, 301, 381, 281, 361","1, 81, 161, 181, 241, 261, 321, 341, 21",32.55717969,225
Total2074,-3,1.2,497080,1,0.05,250,whole,24,262,unstructuredcov,4.078685437,0.862736859,"41, 61, 81, 121, 161, 241, 301, 381, 141, 261, 341, 181, 221, 281, 321, 1","121, 141, 201, 221, 261, 281, 301, 341, 361, 381, 21, 41, 61, 101, 181, 321",32.79348993,225
Total2075,-3,1.2,457002,1,0.05,250,left,3,153,structured,4.765285011,0.23323364,"241, 321, 81, 161, 1","1, 21, 41, 61, 81, 101, 161, 181, 241, 261, 301, 321, 341, 381",15.80201149,226
